species;n_files_tot;n_boxes_tot;n_files_nbm;n_boxes_nbm;n_files_xc;n_boxes_xc;AP_birdnet;AP_nbm;xc_prop;Sp;;;;NBM-Orig.;NBM-XC;;;;;
Ixobrychus minutus;56;96;7;16;49;80;0.613;0.733;0.875;IxMi;;;;;;;;;;
Turdus pilaris;32;93;3;29;29;64;;;0.90625;TuPi;;;;;;;;;;
Nycticorax nycticorax;19;85;19;85;0;0;0.996;0.59;0.0;NyNy;;;;;;;;;;
Chroicocephalus ridibundus;5;83;5;83;0;0;;;0.0;ChRi;;;;;;;;;;
Passer domesticus;17;68;6;32;11;36;;;0.6470588235294118;PaDo;;;;;;;;;;
Cettia cetti;7;63;4;60;3;3;;;0.42857142857142855;CeCe;;;;;;;;;;
Gallinago gallinago;6;45;6;45;0;0;;;0.0;GaGa;;;;;;;;;;
Larus michahellis;3;42;0;0;3;42;;;1.0;LaMi;;;;;;;;;;
Emberiza schoeniclus;27;40;13;15;14;25;;;0.5185185185185185;EmSc;;;;;;;;;;
Anthus hodgsoni;18;38;0;0;18;38;;;1.0;AnHo;;;;;;;;;;
Anthus spinoletta;8;32;0;0;8;32;;;1.0;AnSp;;;;;;;;;;
Anthus campestris;20;30;3;7;17;23;;;0.85;AnCa;;;;;;;;;;
Cuculus canorus;14;28;4;7;10;21;;;0.7142857142857143;CuCa;;;;;;;;;;
Asio otus;7;26;7;26;0;0;;;0.0;AsOt;;;;;;;;;;
Motacilla alba;4;26;2;15;2;11;;;0.5;MoAl;;;;;;;;;;
Apus apus;7;25;2;12;5;13;;;0.7142857142857143;ApAp;;;;;;;;;;
Caprimulgus europaeus;6;21;6;21;0;0;;;0.0;CaEu;;;;;;;;;;
Chloris chloris;5;20;1;5;4;15;;;0.8;ChCh;;;;;;;;;;
Regulus regulus;5;20;4;18;1;2;;;0.2;ReRe;;;;;;;;;;
Phasianus colchicus;5;19;3;16;2;3;;;0.4;PhCo;;;;;;;;;;
Sitta europaea;3;19;0;0;3;19;;;1.0;SiEu;;;;;;;;;;
Coloeus monedula;3;15;2;10;1;5;;;0.3333333333333333;CoMo;;;;;;;;;;
Oriolus oriolus;7;14;0;0;7;14;;;1.0;OrOr;;;;;;;;;;
Sturnus vulgaris;4;12;1;8;3;4;;;0.75;StVu;;;;;;;;;;
Anas acuta;3;10;3;10;0;0;;;0.0;AnAc;;;;;;;;;;
Larus fuscus;3;10;3;10;0;0;;;0.0;LaFu;;;;;;;;;;
Phylloscopus collybita;6;10;1;2;5;8;;;0.8333333333333334;PhCo;;;;;;;;;;
Porzana porzana;3;10;3;10;0;0;;;0.0;PoPo;;;;;;;;;;
Botaurus stellaris;4;9;4;9;0;0;;;0.0;BoSt;;;;;;;;;;
Coccothraustes coccothraustes;3;9;2;8;1;1;;;0.3333333333333333;CoCo;;;;;;;;;;
Ardea purpurea;2;8;2;8;0;0;;;0.0;ArPu;;;;;;;;;;
Dendrocopos major;1;8;0;0;1;8;;;1.0;DeMa;;;;;;;;;;
Mareca penelope;1;7;1;7;0;0;;;0.0;MaPe;;;;;;;;;;
Scolopax rusticola;1;7;1;7;0;0;;;0.0;ScRu;;;;;;;;;;
Sylvia atricapilla;4;7;0;0;4;7;;;1.0;SyAt;;;;;;;;;;
Corvus corax;1;6;0;0;1;6;;;1.0;CoCo;;;;;;;;;;
Corvus frugilegus;2;6;1;5;1;1;;;0.5;CoFr;;;;;;;;;;
Himantopus himantopus;1;6;1;6;0;0;;;0.0;HiHi;;;;;;;;;;
Larus argentatus;1;6;0;0;1;6;;;1.0;LaAr;;;;;;;;;;
Motacilla cinerea;1;6;0;0;1;6;;;1.0;MoCi;;;;;;;;;;
Regulus ignicapilla;3;6;2;5;1;1;;;0.3333333333333333;ReIg;;;;;;;;;;
Turdus viscivorus;3;6;3;6;0;0;;;0.0;TuVi;;;;;;;;;;
Tringa glareola;3;5;3;5;0;0;;;0.0;TrGl;;;;;;;;;;
Garrulus glandarius;1;4;0;0;1;4;;;1.0;GaGl;;;;;;;;;;
Lophophanes cristatus;2;4;0;0;2;4;;;1.0;LoCr;;;;;;;;;;
Prunella modularis;2;4;0;0;2;4;;;1.0;PrMo;;;;;;;;;;
Pyrrhula pyrrhula;1;4;0;0;1;4;;;1.0;PyPy;;;;;;;;;;
Recurvirostra avosetta;2;4;2;4;0;0;;;0.0;ReAv;;;;;;;;;;
Serinus serinus;1;4;0;0;1;4;;;1.0;SeSe;;;;;;;;;;
Tringa erythropus;1;4;1;4;0;0;;;0.0;TrEr;;;;;;;;;;
Troglodytes troglodytes;3;4;0;0;3;4;;;1.0;TrTr;;;;;;;;;;
Bubo bubo;1;2;1;2;0;0;;;0.0;BuBu;;;;;;;;;;
Fringilla montifringilla;2;2;1;1;1;1;;;0.5;FrMo;;;;;;;;;;
Mareca strepera;1;2;1;2;0;0;;;0.0;MaSt;;;;;;;;;;
Melanitta fusca;1;2;0;0;1;2;;;1.0;MeFu;;;;;;;;;;
Phoenicurus ochruros;1;2;1;2;0;0;;;0.0;PhOc;;;;;;;;;;
Tetrax tetrax;1;2;1;2;0;0;;;0.0;TeTe;;;;;;;;;;
Certhia brachydactyla;1;1;0;0;1;1;;;1.0;CeBr;;;;;;;;;;
Ichthyaetus melanocephalus;1;1;1;1;0;0;;;0.0;IcMe;;;;;;;;;;
Loxia curvirostra;1;1;1;1;0;0;;;0.0;LoCu;;;;;;;;;;
Acanthis cabaret;0;0;0;0;0;0;;;;AcCa;;;;;;;;;;
Aegithalos caudatus;0;0;0;0;0;0;;;;AeCa;;;;;;;;;;
Aegolius funereus;0;0;0;0;0;0;;;;AeFu;;;;;;;;;;
Anser albifrons;0;0;0;0;0;0;;;;AnAl;;;;;;;;;;
Anthus cervinus;0;0;0;0;0;0;;;;AnCe;;;;;;;;;;
Arenaria interpres;0;0;0;0;0;0;;;;ArIn;;;;;;;;;;
Branta leucopsis;0;0;0;0;0;0;;;;BrLe;;;;;;;;;;
Calcarius lapponicus;0;0;0;0;0;0;;;;CaLa;;;;;;;;;;
Calidris alba;0;0;0;0;0;0;;;;CaAl;;;;;;;;;;
Calidris canutus;0;0;0;0;0;0;;;;CaCa;;;;;;;;;;
Calidris ferruginea;0;0;0;0;0;0;;;;CaFe;;;;;;;;;;
Calidris minuta;0;0;0;0;0;0;;;;CaMi;;;;;;;;;;
Calidris temminckii;0;0;0;0;0;0;;;;CaTe;;;;;;;;;;
Chlidonias hybrida;0;0;0;0;0;0;;;;ChHy;;;;;;;;;;
Chlidonias niger;0;0;0;0;0;0;;;;ChNi;;;;;;;;;;
Egretta garzetta;0;0;0;0;0;0;;;;EgGa;;;;;;;;;;
Emberiza calandra;0;0;0;0;0;0;;;;EmCa;;;;;;;;;;
Emberiza pusilla;0;0;0;0;0;0;;;;EmPu;;;;;;;;;;
Glaucidium passerinum;0;0;0;0;0;0;;;;GlPa;;;;;;;;;;
Hydroprogne caspia;0;0;0;0;0;0;;;;HyCa;;;;;;;;;;
Larus canus;0;0;0;0;0;0;;;;LaCa;;;;;;;;;;
Limosa lapponica;0;0;0;0;0;0;;;;LiLa;;;;;;;;;;
Limosa limosa;0;0;0;0;0;0;;;;LiLi;;;;;;;;;;
Non bird sound;0;0;0;0;0;0;;;;NoBiSo;;;;;;;;;;
Pernis apivorus;0;0;0;0;0;0;;;;PeAp;;;;;;;;;;
Phoenicopterus roseus;0;0;0;0;0;0;;;;PhRo;;;;;;;;;;
Plectrophenax nivalis;0;0;0;0;0;0;;;;PlNi;;;;;;;;;;
Porzana pusilla;0;0;0;0;0;0;;;;PoPu;;;;;;;;;;
Spatula clypeata;0;0;0;0;0;0;;;;SpCl;;;;;;;;;;
Spatula querquedula;0;0;0;0;0;0;;;;SpQu;;;;;;;;;;
Sterna hirundo;0;0;0;0;0;0;;;;StHi;;;;;;;;;;
Tadorna tadorna;0;0;0;0;0;0;;;;TaTa;;;;;;;;;;
Thalasseus sandvicensis;0;0;0;0;0;0;;;;ThSa;;;;;;;;;;
Tringa stagnatilis;0;0;0;0;0;0;;;;TrSt;;;;;;;;;;
