species;n_files_tot;n_boxes_tot;n_files_nbm;n_boxes_nbm;n_files_xc;n_boxes_xc;AP_birdnet;AP_nbm
Arenaria interpres;0;0;0;0;0;0;;
Branta leucopsis;0;0;0;0;0;0;;
Calcarius lapponicus;0;0;0;0;0;0;;
Calidris alba;0;0;0;0;0;0;;
Calidris canutus;0;0;0;0;0;0;;
Calidris ferruginea;0;0;0;0;0;0;;
Calidris minuta;0;0;0;0;0;0;;
Calidris temminckii;0;0;0;0;0;0;;
Chlidonias hybrida;0;0;0;0;0;0;;
Chlidonias niger;0;0;0;0;0;0;;
Egretta garzetta;0;0;0;0;0;0;;
Emberiza calandra;0;0;0;0;0;0;;
Emberiza pusilla;0;0;0;0;0;0;;
Glaucidium passerinum;0;0;0;0;0;0;;
Hydroprogne caspia;0;0;0;0;0;0;;
Larus canus;0;0;0;0;0;0;;
Limosa lapponica;0;0;0;0;0;0;;
Limosa limosa;0;0;0;0;0;0;;
Non bird sound;0;0;0;0;0;0;;
Pernis apivorus;0;0;0;0;0;0;;
Phoenicopterus roseus;0;0;0;0;0;0;;
Plectrophenax nivalis;0;0;0;0;0;0;;
Porzana pusilla;0;0;0;0;0;0;;
Spatula clypeata;0;0;0;0;0;0;;
Spatula querquedula;0;0;0;0;0;0;;
Sterna hirundo;0;0;0;0;0;0;;
Tadorna tadorna;0;0;0;0;0;0;;
Thalasseus sandvicensis;0;0;0;0;0;0;;
Tringa stagnatilis;0;0;0;0;0;0;;
